Year,Month,Day,VPM1,VPM2,Amplitude
1980,10,16,0.17931,-0.44848,0.48299
1980,10,17,-0.05567,-0.05472,0.07806
1980,10,18,-0.02741,0.11361,0.11687
1980,10,19,-0.29417,0.48715,0.56908
1980,10,20,-0.42019,0.61725,0.74669
1980,10,21,-0.49884,0.81579,0.95622
1980,10,22,-0.60847,0.84586,1.04198
1980,10,23,-0.75897,1.02659,1.27668
1980,10,24,-0.71084,1.37636,1.54908
1980,10,25,-0.51807,1.56155,1.64525
1980,10,26,-0.26614,1.53856,1.56141
1980,10,27,0.19018,1.40478,1.41759
1980,10,28,0.52366,1.59318,1.67703
1980,10,29,0.93329,1.31665,1.61387
1980,10,30,1.25764,1.19295,1.73343
1980,10,31,1.33305,1.26371,1.83684
1980,11,1,1.31824,1.01288,1.66243
1980,11,2,1.38833,0.74555,1.57585
1980,11,3,1.71882,0.61757,1.8264
1980,11,4,1.71994,0.72453,1.86632
1980,11,5,1.70967,0.61521,1.81699
1980,11,6,1.70517,0.42351,1.75698
1980,11,7,1.3366,0.4266,1.40303
1980,11,8,1.20325,0.42782,1.27705
1980,11,9,1.19253,-0.19745,1.20876
1980,11,10,1.45606,-0.41159,1.51311
1980,11,11,1.29915,-0.59979,1.43092
1980,11,12,0.86103,-0.94029,1.27496
1980,11,13,0.77096,-0.95519,1.22751
1980,11,14,0.67621,-0.96431,1.17778
1980,11,15,0.60075,-0.83897,1.03188
1980,11,16,0.20234,-0.67634,0.70596
1980,11,17,0.18608,-0.7071,0.73117
1980,11,18,-0.01023,-0.58375,0.58384
1980,11,19,0.18726,-0.49182,0.52626
1980,11,20,0.1706,-0.3559,0.39467
1980,11,21,-0.02349,-0.00183,0.02356
1980,11,22,-0.04858,0.41878,0.42159
1980,11,23,0.22445,0.59509,0.63601
1980,11,24,0.50868,0.58048,0.77182
1980,11,25,0.69975,0.7111,0.99766
1980,11,26,0.92844,0.73331,1.18311
1980,11,27,0.96306,0.42712,1.05353
1980,11,28,0.65291,0.15853,0.67189
1980,11,29,0.79322,-0.11722,0.80183
1980,11,30,0.73469,-0.20585,0.76299
1980,12,1,0.49688,-0.12714,0.51289
1980,12,2,0.32541,-0.03734,0.32754
1980,12,3,0.13229,-0.1078,0.17065
1980,12,4,-0.01124,0.02503,0.02744
1980,12,5,-0.32079,0.07363,0.32913
1980,12,6,-0.34253,0.29245,0.45039
1980,12,7,-0.43815,0.32359,0.54469
1980,12,8,-0.4599,0.18,0.49387
1980,12,9,-0.29092,-0.03519,0.29304
1980,12,10,-0.27154,-0.23052,0.35619
1980,12,11,-0.26281,-0.47852,0.54594
1980,12,12,0.02669,-0.44592,0.44672
1980,12,13,0.05093,-0.33868,0.34249
1980,12,14,0.43846,-0.15611,0.46542
1980,12,15,0.25308,0.07867,0.26503
1980,12,16,-0.00339,0.07443,0.0745
1980,12,17,-0.01787,0.35729,0.35773
1980,12,18,-0.25274,0.42283,0.49261
1980,12,19,-0.02901,0.57722,0.57795
