Year,Month,Day,OMI1,OMI2,Amplitude
1980,3,30,-0.81044,-1.69399,1.87788
1980,3,31,-0.46802,-1.75319,1.81459
1980,4,1,-0.08334,-1.76214,1.76411
1980,4,2,0.33428,-1.71106,1.74341
1980,4,3,0.77027,-1.58888,1.76574
1980,4,4,1.2025,-1.38542,1.8345
1980,4,5,1.60149,-1.09736,1.94138
1980,4,6,1.93492,-0.73507,2.06984
1980,4,7,2.17673,-0.32438,2.20077
1980,4,8,2.31465,0.10054,2.31683
1980,4,9,2.3504,0.5083,2.40474
1980,4,10,2.29421,0.87673,2.45603
1980,4,11,2.15939,1.19311,2.46707
1980,4,12,1.9597,1.45137,2.43863
1980,4,13,1.70893,1.64932,2.37502
1980,4,14,1.42106,1.78692,2.28309
1980,4,15,1.11043,1.86526,2.17077
1980,4,16,0.79152,1.88631,2.04564
1980,4,17,0.47848,1.85269,1.91347
1980,4,18,0.18435,1.76774,1.77733
1980,4,19,-0.07956,1.63559,1.63752
1980,4,20,-0.30438,1.46111,1.49248
1980,4,21,-0.48399,1.2501,1.34052
1980,4,22,-0.61519,1.00925,1.18197
1980,4,23,-0.69763,0.74636,1.02163
1980,4,24,-0.73344,0.4703,0.87128
1980,4,25,-0.7269,0.19106,0.75159
1980,4,26,-0.68405,-0.08052,0.68877
1980,4,27,-0.61233,-0.33308,0.69706
1980,4,28,-0.52048,-0.55547,0.76122
1980,4,29,-0.41831,-0.73763,0.84799
1980,4,30,-0.30958,-0.8717,0.92505
1980,5,1,-0.21588,-0.95203,0.9762
1980,5,2,-0.14368,-0.97779,0.98829
1980,5,3,-0.10191,-0.9518,0.95724
1980,5,4,-0.09605,-0.88036,0.88558
1980,5,5,-0.12722,-0.77241,0.78281
1980,5,6,-0.19215,-0.63864,0.66692
1980,5,7,-0.28397,-0.49083,0.56706
1980,5,8,-0.39336,-0.34141,0.52086
1980,5,9,-0.50988,-0.20298,0.5488
1980,5,10,-0.62297,-0.08783,0.62913
1980,5,11,-0.72263,-0.0071,0.72267
1980,5,12,-0.79973,0.0302,0.8003
1980,5,13,-0.846,0.01841,0.8462
1980,5,14,-0.85407,-0.04357,0.85518
1980,5,15,-0.8179,-0.15147,0.83181
1980,5,16,-0.73387,-0.29571,0.79121
1980,5,17,-0.6023,-0.46277,0.75955
1980,5,18,-0.42863,-0.6377,0.76836
1980,5,19,-0.22325,-0.8066,0.83692
1980,5,20,0.00011,-0.95815,0.95815
1980,5,21,0.22657,-1.0836,1.10703
1980,5,22,0.44224,-1.1761,1.2565
1980,5,23,0.63549,-1.23005,1.38451
1980,5,24,0.79774,-1.24084,1.47515
1980,5,25,0.92351,-1.2051,1.51827
1980,5,26,1.01021,-1.12125,1.50921
1980,5,27,1.05744,-0.99003,1.44857
1980,5,28,1.06625,-0.81503,1.34208
1980,5,29,1.03822,-0.60308,1.20067
1980,5,30,0.97478,-0.36437,1.04066
1980,5,31,0.87723,-0.11245,0.8844
1980,6,1,0.74763,0.13639,0.75997
1980,6,2,0.59097,0.36469,0.69444
1980,6,3,0.41711,0.55689,0.69578
1980,6,4,0.24073,0.70282,0.74291
1980,6,5,0.07803,0.79956,0.80336
1980,6,6,-0.0576,0.85016,0.85211
1980,6,7,-0.15827,0.86096,0.87539
1980,6,8,-0.22189,0.83924,0.86807
1980,6,9,-0.25093,0.7923,0.83109
1980,6,10,-0.25095,0.72739,0.76946
1980,6,11,-0.22907,0.65182,0.6909
1980,6,12,-0.19297,0.5731,0.60472
1980,6,13,-0.14996,0.49873,0.52078
1980,6,14,-0.10659,0.4358,0.44864
1980,6,15,-0.06826,0.39052,0.39644
1980,6,16,-0.03918,0.36765,0.36974
1980,6,17,-0.02246,0.37003,0.37071
1980,6,18,-0.02017,0.39823,0.39874
1980,6,19,-0.03353,0.45044,0.45169
1980,6,20,-0.06306,0.52254,0.52633
1980,6,21,-0.10874,0.60841,0.61805
1980,6,22,-0.17003,0.70039,0.72073
1980,6,23,-0.246,0.78984,0.82726
1980,6,24,-0.3353,0.8678,0.93032
1980,6,25,-0.43606,0.92556,1.02314
1980,6,26,-0.54563,0.95532,1.10016
1980,6,27,-0.66021,0.95083,1.15756
1980,6,28,-0.77449,0.90817,1.19357
1980,6,29,-0.88152,0.82671,1.20852
1980,6,30,-0.97349,0.70975,1.20476
1980,7,1,-1.04328,0.56461,1.18626
